Date_x,Open,High,Low,Close,Adj Close,Volume,Time Stamp,Date_y,Init N.S.A,Init S.F.,Init S.A.,Init S.A. 4-Week,Continued N.S.A,Continued S.F.,Continued S.A.,Continued S.A. 4-Week,IUR N.S.A,IUR S.A.,Covered Employment,CPI Date,CPI Open,CPI High,CPI Low,CPI Close,CPI Adj Close,CPI Volume,DJIA Date,DJIA Open,DJIA High,DJIA Low,DJIA Close,DJIA Adj Close,DJIA Volume,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date,S&P Date,S&P Open,S&P High,S&P Low,S&P Close,S&P Adj Close,S&P Volume,NASDAQ Date,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Adj Close,NASDAQ Volume
2021-01-01,28994.009765625,29600.626953125,28803.5859375,29374.15234375,29374.15234375,40730301359,2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-01,-47.0,-37.0,-21.0,-62.0,-75.0,27.0,2021-01-01,,,,,,,,,,,,,,
2021-01-02,29376.455078125,33155.1171875,29091.181640625,32127.267578125,32127.267578125,67865420765,2021-01-02,2021-01-02,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208",,,,,,,,,,,,,,,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-02,-26.0,-13.0,-14.0,-33.0,-21.0,9.0,2021-01-02,,,,,,,,,,,,,,
2021-01-03,32129.408203125,34608.55859375,32052.31640625,32782.0234375,32782.0234375,78665235202,2021-01-03,2021-01-02,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208",,,,,,,,,,,,,,,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-03,-27.0,-16.0,-24.0,-33.0,-17.0,7.0,2021-01-03,,,,,,,,,,,,,,
2021-01-04,32810.94921875,33440.21875,28722.755859375,31971.9140625,31971.9140625,81163475344,2021-01-04,2021-01-02,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208",2021-01-04,27.280000686645508,27.280000686645508,27.280000686645508,27.280000686645508,27.280000686645508,100.0,2021-01-04,30627.470703125,30674.279296875,29881.8203125,30223.890625,30223.890625,5006680000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-04,-19.0,-8.0,-23.0,-39.0,-34.0,12.0,2021-01-04,2021-01-04,3764.610107421875,3769.989990234375,3662.7099609375,3700.64990234375,3700.64990234375,5006680000.0,2021-01-04,12958.51953125,12958.7197265625,12543.240234375,12698.4501953125,12698.4501953125,6546740000.0
2021-01-05,31977.041015625,34437.58984375,30221.1875,33992.4296875,33992.4296875,67547324782,2021-01-05,2021-01-02,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208",2021-01-05,27.270000457763672,27.290000915527344,27.270000457763672,27.280000686645508,27.280000686645508,900.0,2021-01-05,30204.25,30504.890625,30141.779296875,30391.599609375,30391.599609375,4582620000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-05,-20.0,-6.0,-20.0,-39.0,-34.0,12.0,2021-01-05,2021-01-05,3698.02001953125,3737.830078125,3695.070068359375,3726.860107421875,3726.860107421875,4582620000.0,2021-01-05,12665.650390625,12828.26953125,12665.650390625,12818.9599609375,12818.9599609375,6904420000.0
2021-01-06,34013.61328125,36879.69921875,33514.03515625,36824.36328125,36824.36328125,75289433811,2021-01-06,2021-01-02,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208",2021-01-06,27.26000022888184,27.290000915527344,27.25,27.26000022888184,27.26000022888184,12700.0,2021-01-06,30362.779296875,31022.650390625,30313.0703125,30829.400390625,30829.400390625,6049970000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-06,-22.0,-11.0,-22.0,-41.0,-33.0,13.0,2021-01-06,2021-01-06,3712.199951171875,3783.0400390625,3705.340087890625,3748.139892578125,3748.139892578125,6049970000.0,2021-01-06,12666.150390625,12909.6298828125,12649.990234375,12740.7900390625,12740.7900390625,7648340000.0
2021-01-07,36833.875,40180.3671875,36491.19140625,39371.04296875,39371.04296875,84762141031,2021-01-07,2021-01-02,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208",2021-01-07,27.280000686645508,27.309999465942383,27.280000686645508,27.299999237060547,27.299999237060547,8300.0,2021-01-07,30901.1796875,31193.400390625,30897.859375,31041.130859375,31041.130859375,5080870000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-07,-24.0,-10.0,-22.0,-41.0,-33.0,13.0,2021-01-07,2021-01-07,3764.7099609375,3811.550048828125,3764.7099609375,3803.7900390625,3803.7900390625,5080870000.0,2021-01-07,12867.33984375,13090.91015625,12867.33984375,13067.48046875,13067.48046875,6777010000.0
2021-01-08,39381.765625,41946.73828125,36838.63671875,40797.609375,40797.609375,88107519480,2021-01-08,2021-01-02,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208",2021-01-08,27.290000915527344,27.290000915527344,27.149999618530277,27.270000457763672,27.270000457763672,6200.0,2021-01-08,31069.580078125,31140.669921875,30793.26953125,31097.970703125,31097.970703125,4764180000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-08,-26.0,-14.0,-29.0,-42.0,-32.0,13.0,2021-01-08,2021-01-08,3815.050048828125,3826.68994140625,3783.60009765625,3824.679931640625,3824.679931640625,4764180000.0,2021-01-08,13160.2197265625,13208.08984375,13036.5498046875,13201.98046875,13201.98046875,7223660000.0
2021-01-09,40788.640625,41436.3515625,38980.875,40254.546875,40254.546875,61984162837,2021-01-09,2021-01-09,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208",2021-01-08,27.290000915527344,27.290000915527344,27.149999618530277,27.270000457763672,27.270000457763672,6200.0,2021-01-08,31069.580078125,31140.669921875,30793.26953125,31097.970703125,31097.970703125,4764180000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-09,-23.0,-9.0,-20.0,-35.0,-12.0,8.0,2021-01-09,2021-01-08,3815.050048828125,3826.68994140625,3783.60009765625,3824.679931640625,3824.679931640625,4764180000.0,2021-01-08,13160.2197265625,13208.08984375,13036.5498046875,13201.98046875,13201.98046875,7223660000.0
2021-01-10,40254.21875,41420.19140625,35984.62890625,38356.44140625,38356.44140625,79980747690,2021-01-10,2021-01-09,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208",2021-01-08,27.290000915527344,27.290000915527344,27.149999618530277,27.270000457763672,27.270000457763672,6200.0,2021-01-08,31069.580078125,31140.669921875,30793.26953125,31097.970703125,31097.970703125,4764180000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-10,-26.0,-13.0,-22.0,-38.0,-17.0,7.0,2021-01-10,2021-01-08,3815.050048828125,3826.68994140625,3783.60009765625,3824.679931640625,3824.679931640625,4764180000.0,2021-01-08,13160.2197265625,13208.08984375,13036.5498046875,13201.98046875,13201.98046875,7223660000.0
