Date,Init N.S.A,Init S.F.,Init S.A.,Init S.A. 4-Week,Continued N.S.A,Continued S.F.,Continued S.A.,Continued S.A. 4-Week,IUR N.S.A,IUR S.A.,Covered Employment
1/2/2021,"898,610","118,083.00","781,000","805,000","5,756,886","517,157.00","5,240,000","5,291,000",4.1,3.7,"142,133,208"
1/9/2021,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208"
1/16/2021,"937,313","51,013.00","886,000","833,500","5,218,474","340,099.00","4,878,000","5,089,750",3.7,3.4,"142,133,208"
1/23/2021,"840,705","5,168.00","836,000","851,750","5,193,816","403,314.00","4,791,000","4,992,500",3.7,3.4,"142,133,208"
1/30/2021,"849,650","12,845.00","837,000","865,750","5,038,663","383,881.00","4,655,000","4,846,250",3.5,3.3,"142,133,208"
2/6/2021,"868,053","5,285.00","863,000","855,500","4,971,328","379,432.00","4,592,000","4,729,000",3.5,3.2,"142,133,208"
2/13/2021,"835,045","-12,100.00","847,000","845,750","4,828,682","359,920.00","4,469,000","4,626,750",3.4,3.1,"142,133,208"
2/20/2021,"716,559","-30,548.00","747,000","823,500","4,848,404","465,101.00","4,383,000","4,524,750",3.4,3.1,"142,133,208"
2/27/2021,"756,629","-4,296.00","761,000","804,500","4,582,021","424,571.00","4,157,000","4,400,250",3.2,2.9,"142,133,208"
3/6/2021,"722,180","-11,751.00","734,000","772,250","4,495,885","373,005.00","4,123,000","4,283,000",3.2,2.9,"142,133,208"
3/13/2021,"757,202","-8,081.00","765,000","751,750","4,233,702","393,192.00","3,841,000","4,126,000",3,2.7,"142,133,208"
3/20/2021,"651,153","-7,242.00","658,000","729,500","4,102,303","349,379.00","3,753,000","3,968,500",2.9,2.6,"142,133,208"
3/27/2021,"723,653","-5,065.00","729,000","721,500","4,015,277","298,005.00","3,717,000","3,858,500",2.8,2.6,"142,133,208"
4/3/2021,"738,734","-2,857.00","742,000","723,500","3,913,719","206,100.00","3,708,000","3,754,750",2.8,2.7,"139,248,565"
4/10/2021,"622,628","36,830.00","586,000","678,750","3,840,457","188,955.00","3,652,000","3,707,500",2.8,2.6,"139,248,565"
4/17/2021,"584,836","19,282.00","566,000","655,750","3,783,595","130,399.00","3,653,000","3,682,500",2.7,2.6,"139,248,565"
4/24/2021,"612,060","21,988.00","590,000","621,000","3,776,257","95,785.00","3,680,000","3,673,250",2.7,2.6,"139,248,565"
