symbol,name,close_price,volume,vol_vs_avg,change_in_percent,days_old,adx,plus_di,minus_di,fifty_two_week_low,fifty_two_week_high,peg,eps,div_yield,atr,chandelier_exit_long,chandelier_exit_short,tradingview_symbol,sector,industry,begin_train,end_train
A,"Agilent Technologies, Inc.",159.18,647168,0.44,0.28,602,13.9,24.8881,17.0034,112.47,179.57,2.97,2.3,0.490011308,3.7089,148.7133,158.8467,NYSE:A,Healthcare,Diagnostics & Research,1/1/2021,12/31/2021
AA,Alcoa Inc.,59.19,3630151,0.43,-1.07,602,23.26,32.9055,14.346,17.3,60.59,-0.29,-3.121,,2.7161,52.4417,51.417,NYSE:AA,Basic Materials,Aluminum,1/1/2021,12/31/2021
AAC,Ares Acquisition Corporation,9.74,8293,0.03,0,193,24.37,7.9866,14.7406,9.5,10,,,,0.0279,9.7364,9.8237,NYSE:AAC,Other,Other,1/1/2021,12/31/2021
AAC.U,"Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of one redeemable warrant",9.92,54232,1.52,-0.1,224,39.45,8.7218,39.1879,9.81,10.8032,,,,0.0298,9.9506,9.9294,NYSE:AAC.U,,,1/1/2021,12/31/2021
AACG,ATA Creativity Global,1.17,26754,0.65,-0.85,602,39.83,10.888,30.9675,1.12,19.75,,-0.6365,,0.1332,1.3666,1.5196,NASDAQ:AACG,Consumer Defensive,Education & Training Services,1/1/2021,12/31/2021
AACI,Armada Acquisition Corp. I,9.8,15682,0.2,0,29,16.18,41.9968,21.2773,9.34,9.89,,,,0.0628,9.7016,9.5284,NASDAQ:AACI,Financial Services,Shell Companies,1/1/2021,12/31/2021
AACIU,Armada Acquisition Corp. I - Unit,9.91,203,0,-1.39,73,33.76,51.5197,27.9567,9.77,10.53,,,,0.0713,10.3161,10.1239,NASDAQ:AACIU,Financial Services,Shell Companies,1/1/2021,12/31/2021
AADI,"Aadi Biosciences, Inc.",24.09,79874,0.38,-2.03,602,33.03,25.648,12.7442,14.3115,49.8,,-0.275,,1.6711,21.5767,23.7633,NASDAQ:AADI,Healthcare,Biotechnology,1/1/2021,12/31/2021
AAIC,Arlington Asset Investment Corp Class A (new),3.53,155503,0.98,-0.28,602,37.95,11.6529,24.7253,3.35,4.42,,,,0.0892,3.5124,3.6176,NYSE:AAIC,Financial Services,Specialty Finance,1/1/2021,12/31/2021
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,24.8,9204,1.24,-0.4,111,35.61,12.8661,61.2998,23.31,25.95,,,,0.238,24.296,24.024,NYSE:AAIN,,,1/1/2021,12/31/2021
AAL,"American Airlines Group, Inc.",18.54,28056969,0.78,2.04,602,19.55,20.8967,21.7626,14.71,26.09,0.63,3.533,2.157497303,0.8826,16.2222,18.7978,NASDAQ:AAL,Industrials,Airlines,1/1/2021,12/31/2021
AAME,Atlantic American Corporation,3.125,14237,1.07,2.12,602,49.61,5.3165,26.2514,2.05,15.8,0,0.058,0.64,0.2114,3.3958,3.4842,NASDAQ:AAME,Financial Services,Insurance - Life,1/1/2021,12/31/2021
AAN,"Aaron's, Inc.",24.76,111789,0.42,-0.24,273,11.63,22.7617,22.8681,16.64,37.49,1.35,2.916,0.726978998,0.9135,22.5595,24.5905,NYSE:AAN,Industrials,Rental & Leasing Services,1/1/2021,12/31/2021
AAOI,"Applied Optoelectronics, Inc.",5.48,356215,0.48,-1.97,602,24.49,16.6908,27.2503,5.2,13.9488,0.51,-1.728,,0.2659,5.3423,5.9977,NASDAQ:AAOI,Technology,Semiconductors,1/1/2021,12/31/2021
AAON,"AAON, Inc.",79.35,110404,0.72,-0.58,602,19.48,18.8866,16.0998,59.22,83.74,2.87,1.47,0.478890989,1.9408,77.9176,81.1974,NASDAQ:AAON,Basic Materials,Building Materials,1/1/2021,12/31/2021
AAP,Advance Auto Parts Inc,238.13,547926,0.86,0.69,602,10.24,26.6847,21.6119,143.18,243.05,1.08,6.869,0.419938689,5.319,226.333,234.187,NYSE:AAP,Consumer Cyclical,Specialty Retail,1/1/2021,12/31/2021
AAPL,Apple Inc.,179.29,76421728,0.84,-0.58,602,39.29,38.7633,12.4309,116.21,182.13,3.08,3.28,0.457359585,4.3927,168.9519,169.5381,NASDAQ:AAPL,Technology,Consumer Electronics,1/1/2021,12/31/2021
AAQC,Accelerate Acquisition Corp.,9.7,4202,0.08,0,162,14.53,24.7502,15.0442,9.599,9.96,,,,0.0252,9.7043,9.7656,NYSE:AAQC,Financial Services,Shell Companies,1/1/2021,12/31/2021
AAT,"American Assets Trust, Inc.",36.58,108951,0.45,-0.41,602,14.42,21.202,18.9179,27.21,40.83,21.85,0.629,2.733734281,0.9523,34.4731,36.6869,NYSE:AAT,Real Estate,REIT - Retail,1/1/2021,12/31/2021
AATC,Autoscope Technologies Corporation,6.34,15294,0.85,-0.94,602,37.27,5.7095,18.1538,4.0638,11.58,0,0.112,,0.1971,6.4687,6.8413,NASDAQ:AATC,Technology,Scientific & Technical Instruments,1/1/2021,12/31/2021
